image,model_id,display_name,cer,wer,latency_ms,input_tokens,output_tokens,extracted_text,error
img_01_product,gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,68.35,73.49,13636.2,3484,380,"햇반
건강한 습관, 라이스플랜
현미귀리곤약밥
연출이미지
*1등 햇반이 완성한 밥 소믈리에의 황금배합!
*2001-2024, 즉석밥 부문 판매실적 1위 기업, 닐슨 조사결과
고식이섬유
한공기
8.7g 165 Kcal
대한민국
등
건강한 습관
라이스플랜으로
만드는 똑똑하고
체계적인 건강습관
150G 110G
165kcal 165kcal
165kcal
한 공기 165kcal로
맛있는 식단관리
잡곡 함량
40% 이상
귀리, 찰보리 등
잡곡을 듬뿍
연출이미지
高식이섬유
바나나 3.9개 분량의
식이섬유 8.7g
(제품 150g 기준)
*국가표준식품성분표,
바나나 약 1개 100g 기준
POINT 1
건강한 습관,
라이스플랜
여러가지 잡곡을 최적의 비율로 담아
설계하였습니다. 바쁜 하루에도 건강은 계획대로,
햇반 라이스플랜과 함께 똑똑하고 체계적인
건강습관을 만들어보세요.
건강한 습관
라이스플랜
햇반 현미귀리
165 kcal
제품명:현미귀리곤약밥/150g(165 kcal)
곤약밥
연출이미지",
img_01_product,gemini-2.5-flash,Gemini 2.5 Flash,64.36,70.32,10993.3,3484,426,"햇반
건강한 습관, 라이스플랜
현미귀리곤약밥
연출이미지
*1등 햇반이 완성한 밥 소믈리에의 황금배합!
*2001-2024, 즉석밥 부문 판매실적 1위 기업, 닐슨 조사결과
고식이섬유
8.7g
한공기
165Kcal
대한민국
1등
2001-2024, 닐슨 조사결과
건강한 습관
라이스플랜으로
만드는 똑똑하고
체계적인 건강습관
150G
165kcal
110G
165kcal
165kcal
한 공기 165kcal로
맛있는 식단관리
잡곡 함량
40% 이상
귀리, 찰보리 등
잡곡을 듬뿍
연출이미지
高식이섬유
바나나 3.9개 분량의
식이섬유 8.7g
(제품 150g 기준)
*국가표준식품성분표,
바나나 약 1개 100g 기준
POINT 1
건강한 습관,
라이스플랜
여러가지 잡곡을 최적의 비율로 담아
설계하였습니다. 바쁜 하루에도 건강은 계획대로,
햇반 라이스플랜과 함께 똑똑하고 체계적인
건강습관을 만들어보세요.
건강한 습관
라이스플랜
햇반 현미귀리
곤약밥
165 kcal
제품명:현미귀리곤약밥/150g(165 kcal)
곤약쌀 33%/귀리 10%, 현미 28%, 찰보리 11%
연출이미지",
img_01_product,gemini-2.5-pro,Gemini 2.5 Pro,48.83,52.45,24850.7,3484,610,"햇반®
건강한 습관, 라이스플랜
현미귀리곤약밥

연출이미지

*1등 햇반이 완성한 밥 소믈리에의 황금배합!
*2001-2024, 즉석밥 부문 판매실적 1위 기업, 닐슨 조사결과

고식이섬유
8.7g

한공기
165Kcal

대한민국
1등
2001-2024 즉석밥 부문 판매실적 1위 기업

건강한 습관
라이스플랜으로
만드는 똑똑하고
체계적인 건강습관

150G
165kcal

110G
165kcal

165kcal
한 공기 165kcal로
맛있는 식단관리

잡곡 함량
40% 이상
귀리, 찰보리 등
잡곡을 듬뿍

연출이미지

高식이섬유
바나나 3.9개 분량의
식이섬유 8.7g
(제품 150g 기준)
*국가표준식품성분표,
바나나 약 1개 100g 기준

POINT 1
건강한 습관,
라이스플랜
여러가지 잡곡을 최적의 비율로 담아
설계하였습니다. 바쁜 하루에도 건강은 계획대로,
햇반 라이스플랜과 함께 똑똑하고 체계적인
건강습관을 만들어보세요.

건강한 습관
라이스플랜
햇반® 현미귀리
곤약밥
165 kcal
곤약쌀 33 %/곤약분 10 %, 귀리 28 %, 찰보리 14 %, 현미 11 %
*원료 곤약쌀 중 곤약분 함량
제품명: 현미귀리곤약밥 / 150 g(165 kcal)

영양정보 총 내용량 150 g / 165 kcal
나트륨 15 mg 1%
탄수화물 38 g 12%
당류 0 g 0%
식이섬유 8.7 g 35%
지방 0.9 g 2%
트랜스지방 0 g
포화지방 0 g 0%
콜레스테롤 0 mg 0%
단백질 3 g 5%
1일 영양성분 기준치에 대한 비율(%)은 2,000kcal 기준이므로 개인의 필요 열량에 따라 다를 수 있습니다.

연출이미지",
img_01_product,cloud-vision,Cloud Vision API,60.89,73.49,4293.8,0,0,"햇반
건강한 습관, 라이스플랜
현미귀리곤약밥
연출이미지
""1등 햇반이 완성한 밥 소믈리에의 황금배합!
*2001-2024, 즉석밥 부문 판매실적 1위 기업 닐슨 조사결과
고식이섬유
한공기
8.7g 165kcal
대한민국
1등
즉석밥 부문 과매신저 1위 기업
건강한 습관
라이스플랜으로
만드는 똑똑하고
체계적인 건강습관
165
150G 110G
165kcal
165kcal
건강한 습관
라이스
햇반 현미귀리
곤약밥
햇반
잡곡 함량
40% 이상
귀리, 찰보리 등
잡곡을 듬뿍
165kcal
한공기 165kcal로
맛있는 식단관리
연출이미지
高식이섬유
바나나 3.9개 분량의
식이섬유 8.7g
(제품 150g 기준)
*국가표준식품성분표,
바나나 약 1개 100g 기준
POINT 1
건강한 습관,
라이스플랜
여러가지 잡곡을 최적의 비율로 담아
설계하였습니다. 바쁜 하루에도 건강은 계획대로,
햇반 라이스플랜과 함께 똑똑하고 체계적인
건강습관을 만들어보세요.
A
건강한습관
라이스플랜
햇반 현미구리
곤약밥
165kcal obs
1개 기준
곤약쌀 33%(곤약분말 10 %), 귀리 28 %, 찰보리 14%, 현미 11 %
2 3
00 1개 1분30초
・
제품명:현미귀리곤약밥/150g(165kcal)
• 식품의 유형 즉석조리식품 • 살균제품 • 탈소충전제품 •원자료 곤약쌀 [전분가공품(인도네시아 영양정보
쌀가루(쌀:국산)], 귀리(캐나다산), 찰보리(미국산), 현미(국산), 나트륨
산),
8801392 003837
2230
*조리 후에 잘 저어서 드세요 끓는 물 1개 10분
총 내용량 150g/ 165 kcal
60mg
3% 탄수화물
39g
12% 당류 0g0% 비닐류
“
화이버슬 2. 정마스금·소비기한: 옆면 표기일까지•포장용기리드
멥쌀(국산),
식이섬유 87g
35%
지
방
1.4g
3% 트랜스지방 0g
글
0%
방
콜레
스
테
0%
단
백질
39
리프로필렌) • 보관방법 1. 실온보관(냉장 및 냉동보관 불필요) 2남은제품을 보관할
5% OTHER
이
경
변질의 우려가 있으니 가급적 한번에 드십시오 우유, 대두, 밀, 쇠고기, 일본, 대한일 영양성분 기준치에 대한 비율(%)은
우
2,000
l 기준이므로 재정의 물은 물위에 따라 다를 수도습
니다
황콩, 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 호두, 닭고기, 오징어, 조개류(굴, 전복,홍합 포함 가능 소비자분쟁해결기준에 의거 교환 또는 보상 가능
부정불량식품 신고는 국번없이 1399- 반품 및 교환장소 구입처 및 대리점 고객센터 080-850-1200/1666-5471)
cojoo.kr 제이제일제
당
주식회사 부산광역시 사하구 다대로 210-[조리방법] 삼단조리시간을 참고해주세요 전자레인지,정선부근까지 개봉 후 조리• 끓는 물 개봉하지 않고
용기제조리·동목보고번호: 19910144038972 ▲ 주의. 취급 중 포장이 손상될 경우 제품 변질의 우려가 있습니다.
곤약쌀의 특성상 제품이 몰려있을 수 있으나 점상중량 제품입니다. 귀리가 함유되어 해당 원료의
껍질이 있을 수 있으니, 취식 시 제거 후 드시기 바랍니다.
연출이미지",
img_02_recipe,gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,56.73,59.17,5405.6,3484,591,"매일매일 곤약밥을
맛있게 즐기는 TIP
곤약미 김밥
1. 당근과 오이는 채썬다.
2. 당근은 기름 두른 팬에 소금, 후추를 뿌려 간한 뒤 볶고 식힌다.
3. 달걀은 볼에 넣고 풀어준 다음, 팬에 넓게 펼쳐 약한불로 익혀
지단을 부친 뒤 얇게 채썬다.
4. 닭가슴살은 전자레인지에 돌려 데운 뒤 길게 슬라이스 한다.
5. 곤약밥은 전자레인지에 돌려 데운 뒤 참기름, 맛소금, 통깨를
넣고 골고루 섞는다.
6. 김밥김을 바닥에 깐 뒤 간을 한 밥을 넓게 펼쳐 올리고 준비한
재료(지단채, 오이채, 닭가슴살, 단무지, 우엉, 당근채)를
가지런히 올린 뒤 돌돌말아 한입크기로 썰어주면 완성.
곤약미 쌈밥
1. 햇반 곤약밥은 전자레인지에 돌린 뒤 참기름, 맛소금, 통깨를
넣고 골고루 섞어 간한다.
2. 양배추는 깨끗이 씻어 유리 용기에 담고 물을 조금 부어
비닐랩을 덮은 다음, 젓가락으로 구멍을 내고 10분간 돌려
익힌다.
3. 상추는 깨끗이 씻어 준비한다.
4. 상추 또는 익힌 양배추에 곤약밥을 넣고 쌈장을 곁들여 먹는다.
아보카도 계란덮밥
1. 아보카도는 씨와 껍질을 분리한 뒤 얇게 썰어 준비한다.
2. 달걀은 기름 두른 팬에 구워 후라이한다.
3. 곤약밥은 전자레인지에 데운 뒤 그릇에 담는다.
4. 썰어둔 아보카도, 달걀후라이, 명란, 김가루, 참기름, 통깨를
토핑하면 완성.
건강한 습관
라이스틀런
햇반 현미귀리
165 kcal
곤약밥
근대 30%(2번글 10%, 귀리 28%, 보리 14%, 현미1
제품명:현대귀리밥/150g(165kcal)
13.7cm
13.7cm
조리에",
img_02_recipe,gemini-2.5-flash,Gemini 2.5 Flash,56.28,58.89,7298.7,3484,594,"매일매일 곤약밥을
맛있게 즐기는 TIP

곤약미 김밥
1. 당근과 오이는 채썬다.
2. 당근은 기름 두른 팬에 소금, 후추를 뿌려 간한 뒤 볶고 식힌다.
3. 달걀은 볼에 넣고 풀어준 다음, 팬에 넓게 펼쳐 약한불로 익혀
지단을 부친 뒤 얇게 채썬다.
4. 닭가슴살은 전자레인지에 돌려 데운 뒤 길게 슬라이스 한다.
5. 곤약밥은 전자레인지에 돌려 데운 뒤 참기름, 맛소금, 통깨를
넣고 골고루 섞는다.
6. 김밥김을 바닥에 깐 뒤 간을 한 밥을 넓게 펼쳐 올리고 준비한
재료(지단채, 오이채, 닭가슴살, 단무지, 우엉, 당근채)를
가지런히 올린 뒤 돌돌말아 한입크기로 썰어주면 완성.
조리에

곤약미 쌈밥
1. 햇반 곤약밥은 전자레인지에 돌린 뒤 참기름, 맛소금, 통깨를
넣고 골고루 섞어 간한다.
2. 양배추는 깨끗이 씻어 유리 용기에 담고 물을 조금 부어
비닐랩을 덮은 다음, 젓가락으로 구멍을 내고 10분간 돌려
익힌다.
3. 상추는 깨끗이 씻어 준비한다.
4. 상추 또는 익힌 양배추에 곤약밥을 넣고 쌈장을 곁들여 먹는다.
조리에

아보카도 계란덮밥
1. 아보카도는 씨와 껍질을 분리한 뒤 얇게 썰어 준비한다.
2. 달걀은 기름 두른 팬에 구워 후라이한다.
3. 곤약밥은 전자레인지에 데운 뒤 그릇에 담는다.
4. 썰어둔 아보카도, 달걀후라이, 명란, 김가루, 참기름, 통깨를
토핑하면 완성.

건강한 습관
라이스틀런
햇반 현미귀리
165 kcal
곤약밥
곤약 30%(2번글 10%, 귀리 28%, 보리 14%, 현미1
제품명:현대귀리밥/150g(165kcal)
13.7cm
13.7cm",
img_02_recipe,gemini-2.5-pro,Gemini 2.5 Pro,54.09,55.28,28633.7,3484,611,"매일매일 곤약밥을
맛있게 즐기는 TIP

조리예
곤약미 김밥
1. 당근과 오이는 채썬다.
2. 당근은 기름 두른 팬에 소금, 후추를 뿌려 간한 뒤 볶고 식힌다.
3. 달걀은 볼에 넣고 풀어준 다음, 팬에 넓게 펼쳐 약한불로 익혀 지단을 부친 뒤 얇게 채썬다.
4. 닭가슴살은 전자레인지에 돌려 데운 뒤 길게 슬라이스 한다.
5. 곤약밥은 전자레인지에 돌려 데운 뒤 참기름, 맛소금, 통깨를 넣고 골고루 섞는다.
6. 김밥김을 바닥에 깐 뒤 간을 한 밥을 넓게 펼쳐 올리고 준비한 재료(지단채, 오이채, 닭가슴살, 단무지, 우엉, 당근채)를 가지런히 올린 뒤 돌돌말아 한입크기로 썰어주면 완성.

조리예
곤약미 쌈밥
1. 햇반 곤약밥은 전자레인지에 돌린 뒤 참기름, 맛소금, 통깨를 넣고 골고루 섞어 간한다.
2. 양배추는 깨끗이 씻어 유리 용기에 담고 물을 조금 부어 비닐랩을 덮은 다음, 젓가락으로 구멍을 내고 10분간 돌려 익힌다.
3. 상추는 깨끗이 씻어 준비한다.
4. 상추 또는 익힌 양배추에 곤약밥을 넣고 쌈장을 곁들여 먹는다.

조리예
아보카도 계란덮밥
1. 아보카도는 씨와 껍질을 분리한 뒤 얇게 썰어 준비한다.
2. 달걀은 기름 두른 팬에 구워 후라이한다.
3. 곤약밥은 전자레인지에 데운 뒤 그릇에 담는다.
4. 썰어둔 아보카도, 달걀후라이, 명란, 김가루, 참기름, 통깨를 토핑하면 완성.

건강한 습관
라이스틀런
햇반®
현미귀리
곤약밥
13.7cm
165 kcal / 1개당
곤약 30%(곤약분말 10%), 귀리 28%, 찰보리 14%, 현미 11%
제품명: 현미귀리곤약밥 / 내용량: 150 g (165 kcal)
13.7cm",
img_02_recipe,cloud-vision,Cloud Vision API,45.27,53.33,855.3,0,0,"매일매일 곤약밥을
맛있게 즐기는 TIP
조리예
곤약미 김밥
1. 당근과 오이는 채썬다.
2. 당근은 기름 두른 팬에 소금, 후추를 뿌려 간한 뒤 볶고 식힌다.
3. 달걀은 볼에 넣고 풀어준 다음, 팬에 넓게 펼쳐 약한불로 익혀
지단을 부친 뒤 얇게 채썬다.
4. 닭가슴살은 전자레인지에 돌려 데운 뒤 길게 슬라이스한다.
5. 곤약밥은 전자레인지에 돌려 데운 뒤 참기름, 맛소금, 통깨를
넣고 골고루 섞는다.
6. 김밥김을 바닥에 깐 뒤 간을 한 밥을 넓게 펼쳐 올리고 준비한
재료(지단채, 오이채, 닭가슴살, 단무지, 우엉, 당근채)를
가지런히 올린 뒤 돌돌말아 한입크기로 썰어주면 완성.
조리예
곤약미 쌈밥
1. 햇반 곤약밥은 전자레인지에 돌린 뒤 참기름, 맛소금, 통깨를
넣고 골고루 섞어 간한다.
2. 양배추는 깨끗이 씻어 유리 용기에 담고 물을 조금 부어
비닐랩을 덮은 다음, 젓가락으로 구멍을 내고 10분간 돌려
익힌다.
3. 상추는 깨끗이 씻어 준비한다.
4. 상추 또는 익힌 양배추에 곤약밥을 넣고 쌈장을 곁들여 먹는다.
조리에
아보카도 계란덮밥
1. 아보카도는 씨와 껍질을 분리한 뒤 얇게 썰어 준비한다.
2. 달걀은 기름 두른 팬에 구워 후라이한다.
3. 곤약밥은 전자레인지에 데운 뒤 그릇에 담는다.
4. 썰어둔 아보카도, 달걀후라이, 명란, 김가루, 참기름, 통깨를
토핑하면 완성.
AR
건강한습관
라이스플랜
햇반 현미귀리
곤약밥
165kcal
(150g)
곤약쌀 33 %(곤약분말 10 %), 귀리 28 %, 찰보리 14 %, 현미 11 %
8801392 003837
₩ 22분 30
제품명 : 현미귀리곤약밥/150g(165kcal)
*조리후에 잘 저어서드세 끓는 물 1개 10분
* 제품의 유형 즉석조리식품 • 실균제품·소충전제품 • 곤약쌀 [전분가공품(인도시아 영양정보 총 내용량 150g/ 165 kcal
산), 쌀가루(쌀:국산)], 귀리(캐나다산), 찰보리(미국산), 현미(국산), 나트륨 60mg 3% 탄수화물 39g 12% 당류 0g 0% 6
*멥쌀(국산) -2, 정제소금, 범유요? 35% 지방 14g 3% 트랜스지방
0
1
포화지방 0g 0% 콜레스테롤 0mg 0% 단백질3g 5%
OTHER
담금 고등어, 게, 새우, 돼지고기, 복숭아, 토마토, 호두, 닭고기, 오징어, 조개류(굴,전복, 교환 또는 보
불량식품 신고는 국민경 1394 구입고객센터:080-850-12006665401제
10월 주식회사 부산광역시 서북구 대대로 2010년 조직뱅크) 상단 조리 시간을 참고해 주세요. 전자는 이 삼산부근까지 개최 후 조의 아내는 곧 개봉하지 않고
용기제조리·품목보고번호 19910144038972 ▲주의 취급 중 포장이 손상될 경우 제품 변질의 우려가 있습니다.
・학의 특성상 제품이 있을 수 있으나 중량 제품입니다. 귀리가 함유되어 해당 의
고 껍질이 있을 수 있으나, 취닉 시 제거 후 드시기 바랍니다.
13.7cm
13.7cm",
img_03_cert,gemini-2.5-flash-lite,Gemini 2.5 Flash-Lite,3.5,9.8,3539.3,1936,158,"RN
SEAFOOD
Σ
NORWAY
R
노르웨이 수산물 위원회(NSC, Norwegian Seafood
Council)를 통해 확인된 차갑고 깨끗한 노르웨이
바다에서 잡은 고등어만 사용!
노르웨이 수산물 위원회(NSC, Norwegian Seafood
Council)에서는 'Seafood from Norway'라는
자체마크 부여를 통해 차갑고 깨끗한 바다에서 잡은
노르웨이산 수산물의 원산지와 품질을 확인하며,
비비고 고등어구이에 사용된 고등어는 노르웨이 수산물
위원회를 통해 확인된 고등어만을 사용하였습니다.",
img_03_cert,gemini-2.5-flash,Gemini 2.5 Flash,0.7,3.92,4193.6,1936,156,"SEAFOOD
FROM
NORWAY
®

노르웨이 수산물 위원회(NSC, Norwegian Seafood
Council)를 통해 확인된 차갑고 깨끗한 노르웨이
바다에서 잡은 고등어만 사용!
노르웨이 수산물 위원회(NSC, Norwegian Seafood
Council)에서는 'Seafood from Norway'라는
자체마크 부여를 통해 차갑고 깨끗한 바다에서 잡은
노르웨이산 수산물의 원산지와 품질을 확인하며,
비비고 고등어구이에 사용된 고등어는 노르웨이 수산물
위원회를 통해 확인된 고등어만을 사용하였습니다.",
